city,cityid
Shoreline,0
Seattle,1
Kent,2
Bellevue,3
Redmond,4
Maple Valley,5
North Bend,6
Lake Forest Park,7
Sammamish,8
Auburn,9
Des Moines,10
Bothell,11
Federal Way,12
Kirkland,13
Issaquah,14
Woodinville,15
Normandy Park,16
Fall City,17
Renton,18
Carnation,19
Snoqualmie,20
Duvall,21
Burien,22
Covington,23
Inglewood-Finn Hill,24
Kenmore,25
Newcastle,26
Mercer Island,27
Black Diamond,28
Ravensdale,29
Clyde Hill,30
Algona,31
Skykomish,32
Tukwila,33
Vashon,34
Yarrow Point,35
SeaTac,36
Medina,37
Enumclaw,38
Snoqualmie Pass,39
Pacific,40
Beaux Arts Village,41
Preston,42
Milton,43
